timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
0,1258.835909850600,1091.953242807360,0,0,0.0513,0.0397,0.45
1,1214.541283520820,1053.530712530570,0,0,0.0507,0.0454,0.45
2,1170.072952774060,1014.957505664460,0,0,0.0441,0.0367,0.45
3,1150.791762489330,998.232404249861,0,0,0.038,0.0286,0.45
4,1158.434756836430,1004.862174179970,0,0,0.0349,0.0271,0.45
5,1125.952030861260,976.685651976996,0,0,0.0324,0.0264,0.45
6,1060.465465659980,919.880577803079,0,0,0.0306,0.0287,0.45
7,1095.727462306820,950.467925435189,0.0001,0.0003,0.0358,0.0387,0.45
8,1129.078710366890,979.397830584769,0.0203,0.0191,0.0294,0.0297,0.45
9,1204.987540586940,1045.243500117930,0.0501,0.0479,0.0289,0.0217,0.45
10,1299.482743423800,1127.211564708410,0.0663,0.0712,0.0256,0.019,0.45
11,1414.648771881230,1227.110143428050,0.0676,0.079,0.0208,0.018,0.45
12,1409.785048205800,1222.891198927080,0.0521,0.0715,0.0158,0.0141,0.45
13,1371.570076470310,1189.742349276510,0.0247,0.0446,0.0129,0.0106,0.45
14,1355.589270108190,1175.880103059010,0.0031,0.008,0.0134,0.0069,0.45
15,1368.617101381650,1187.180847258060,0,0,0.01,0.0019,0.45
16,1478.050884078750,1282.107098530120,0,0,0.0047,0,0.45
17,1570.982747162790,1362.719073816710,0,0,0.0014,0,0.45
18,1580.015376845730,1370.554256461390,0,0,0.0002,0,0.45
19,1555.001940800680,1348.856827599210,0,0,0.0012,0,0.45
20,1452.516334782760,1259.957639899980,0,0,0.0051,0,0.45
21,1378.518253149490,1195.769412849340,0,0,0.0103,0.0003,0.45
22,1350.899250849740,1171.811835147350,0,0,0.0168,0.0033,0.45
23,1244.244738824320,1079.296409304420,0,0,0.0254,0.0097,0.45
24,1146.101743230890,994.164136338201,0,0,0.0378,0.0216,0.45
25,1078.704429442830,935.701619681756,0,0,0.057,0.0417,0.45
26,1054.559515482680,914.757573766175,0,0,0.0818,0.0707,0.45
27,1071.235139512710,929.222526340966,0,0,0.1061,0.0987,0.45
28,1118.830149765100,970.507911814846,0,0,0.1379,0.1274,0.45
29,1151.660284574230,998.985787196464,0,0,0.1837,0.1701,0.45
30,1167.293682102390,1012.546680235330,0,0,0.2533,0.2466,0.45
31,1288.191956320130,1117.417586402560,0.0015,0.0023,0.3331,0.3433,0.45
32,1419.165086722690,1231.027734750390,0.0308,0.0394,0.4305,0.5107,0.45
33,1572.719791332590,1364.225839709930,0.0683,0.0868,0.4894,0.6063,0.45
34,1660.787930741210,1440.618870495540,0.1076,0.1342,0.5121,0.6317,0.45
35,1742.081597887630,1511.135514297630,0.1283,0.1554,0.5277,0.6578,0.45
